year,country,global_avg_temperature,temperature_anomaly,max_temperature,min_temperature,co2_concentration_ppm,annual_rainfall_mm,sea_level_rise_mm,sea_surface_temperature,heatwave_days,drought_index,flood_events_count,forest_cover_percent,deforestation_rate,fossil_fuel_consumption,renewable_energy_share,air_quality_index,predicted_temperature_2050,climate_risk_index
2021,USA,13.7,1.14,33.36,6.96,424.83,578.42,2.97,16.16,36,1.35,6,44.67,1.27,73.99,54.8,198,1.76,72.57
2007,Australia,15.05,1.08,39.01,8.95,404.89,1048.71,4.51,16.43,32,1.42,11,11.05,1.83,82.96,33.65,135,3.16,57.98
1995,China,14.68,0.53,29.45,7.03,427.63,631.38,1.36,16.23,24,0.62,0,68.42,2.51,73.39,58.76,110,1.75,14.57
1994,India,14.66,1.54,40.74,4.25,450.16,1009.04,6.97,16.55,41,4.61,10,38.33,2.04,79.27,59.11,190,2.35,31.03
2023,Australia,15.0,0.77,35.71,5.93,384.36,1348.6,4.45,15.73,28,0.86,3,33.62,2.83,83.61,37.92,47,2.37,22.14
1982,Australia,14.01,0.86,32.11,8.61,394.0,1234.71,3.14,15.72,57,2.86,12,33.7,2.24,83.88,53.26,115,2.21,39.03
2016,Pakistan,15.23,0.69,31.98,3.12,415.68,975.49,3.19,15.82,24,2.92,13,35.45,2.78,28.02,59.96,139,2.59,51.6
1986,Pakistan,14.42,1.38,28.08,5.12,388.59,703.38,3.2,16.73,53,1.85,0,24.53,2.47,51.95,51.73,55,1.73,50.68
2000,UK,15.03,0.49,32.32,3.97,369.91,1047.75,5.71,15.23,58,1.76,12,29.64,0.76,20.02,41.13,193,3.17,75.45
1988,Germany,14.94,1.35,33.68,-1.45,442.33,791.28,4.58,15.82,8,3.34,12,69.12,0.28,55.45,51.48,196,1.79,18.92
2018,UK,13.88,1.52,29.69,8.67,359.28,1060.34,2.97,19.21,2,1.94,1,32.09,3.17,84.7,9.55,132,2.13,94.65
1997,France,14.8,1.31,34.77,13.23,404.94,485.41,2.01,17.84,14,1.28,10,41.6,3.32,33.94,39.92,45,1.48,34.28
1983,China,14.7,1.39,37.36,1.5,433.97,1242.18,4.94,15.06,3,2.0,14,60.9,2.57,64.79,16.91,76,2.72,30.02
2004,France,14.52,1.4,33.93,8.85,421.67,1009.96,4.51,17.8,44,4.04,13,41.65,2.56,65.11,11.38,134,3.14,68.52
1993,Canada,14.44,0.72,38.31,1.63,405.32,1662.56,4.35,17.44,37,4.83,0,29.47,1.02,31.22,54.11,100,3.2,80.55
1988,France,14.45,1.67,30.96,5.53,387.56,1391.82,3.4,16.34,19,3.18,12,41.43,1.94,36.7,40.18,57,2.77,37.85
2005,USA,14.99,0.92,40.02,11.03,423.6,1169.86,3.14,15.44,48,3.91,4,16.85,3.47,52.34,18.4,150,2.01,74.68
1981,France,14.85,1.07,35.61,2.92,390.29,962.8,5.52,15.27,22,2.66,6,17.8,3.01,33.17,26.27,134,2.2,88.37
1999,UK,14.52,0.97,42.73,4.94,421.65,781.12,5.63,16.84,36,3.12,2,51.65,1.13,60.95,58.53,55,2.04,76.68
2007,India,13.6,1.3,47.07,-2.21,418.52,1282.72,4.27,15.23,46,4.94,13,65.05,1.12,53.92,52.42,143,1.59,3.42
1986,India,14.8,0.88,32.65,2.34,418.78,931.16,4.66,18.15,7,2.19,7,53.54,1.74,56.34,5.86,53,2.05,82.74
2023,Pakistan,14.93,1.13,32.85,-2.63,398.99,1350.51,3.78,18.57,56,0.33,13,14.48,1.48,29.41,58.89,142,2.65,77.45
1987,China,15.88,0.61,33.77,6.72,465.88,1120.25,1.86,16.44,36,4.79,14,34.17,1.36,56.21,25.27,107,1.77,66.93
2014,China,15.15,1.57,37.98,8.33,423.96,1122.4,2.32,18.21,55,3.97,4,10.15,2.23,23.46,43.25,69,1.06,76.0
1993,USA,13.36,1.37,41.63,4.11,408.03,1178.36,4.88,15.88,44,1.99,4,40.67,0.14,81.71,44.2,99,1.57,97.94
1996,UK,14.55,0.98,31.74,6.14,421.61,724.11,5.03,15.43,32,4.91,12,21.59,2.7,44.03,55.14,92,2.61,43.11
2015,Pakistan,15.59,0.91,36.91,3.7,395.64,693.36,4.76,18.15,32,1.73,4,62.09,2.62,79.94,53.68,197,1.34,6.72
2019,Canada,14.87,1.36,34.32,7.96,405.34,682.99,3.92,18.87,6,1.86,7,16.26,2.92,69.12,20.5,103,1.96,46.09
1983,China,14.7,0.82,38.09,5.52,474.8,1314.25,4.81,19.44,21,3.05,1,10.09,2.96,73.63,40.39,53,2.01,4.64
1981,India,15.04,1.15,42.55,-2.94,395.82,716.28,3.43,17.0,4,1.37,1,37.07,2.03,42.02,26.65,62,2.33,29.43
1985,France,14.13,1.56,33.8,8.76,413.06,753.65,4.25,17.79,45,3.49,14,19.33,2.75,35.94,33.9,195,2.32,58.69
2021,France,14.79,0.78,26.65,3.44,403.6,1161.26,3.25,16.97,14,0.76,13,54.28,1.77,48.47,35.51,161,2.4,30.96
1983,Pakistan,14.35,1.25,38.72,-0.08,389.01,924.39,2.23,18.61,20,0.54,11,65.2,3.34,21.7,26.8,46,2.13,68.54
2008,UK,14.49,1.23,30.84,3.24,425.53,886.06,4.54,17.15,24,2.67,7,12.52,0.75,84.31,30.51,49,1.73,82.2
1997,UK,15.0,1.06,34.28,-2.61,415.91,860.03,5.03,17.71,16,2.78,8,33.73,3.21,47.09,16.46,141,2.65,42.04
2005,Germany,13.94,0.9,38.94,0.0,437.78,302.31,6.47,14.8,55,0.53,10,69.81,0.98,89.2,38.42,52,1.32,90.01
2023,Brazil,15.27,1.59,36.49,5.57,435.26,709.94,3.82,16.15,49,4.82,11,53.96,0.45,73.3,46.74,199,2.59,7.98
2013,China,14.25,0.86,34.49,5.91,437.52,1354.47,2.24,17.72,6,2.87,9,67.19,1.59,25.64,28.64,166,2.77,84.01
1989,UK,14.66,0.38,32.12,6.23,392.04,838.18,3.11,17.59,53,0.76,9,19.84,2.19,66.21,58.77,87,3.37,82.86
2015,India,13.66,1.36,20.5,5.01,431.02,429.85,3.34,17.85,57,1.56,1,23.28,0.89,38.96,8.15,44,1.82,32.2
1993,Pakistan,14.93,0.62,38.49,2.23,431.63,697.6,3.68,16.68,49,4.0,3,19.29,1.99,37.06,37.4,100,1.92,29.87
2010,Canada,15.37,1.38,33.74,4.78,389.47,1107.96,4.07,15.52,59,2.62,7,28.14,2.85,37.96,37.1,161,2.23,30.51
1994,Germany,14.19,1.63,42.57,3.25,407.03,1102.01,3.94,16.41,18,0.94,1,53.46,0.97,84.13,7.0,129,2.19,81.14
1987,Australia,13.83,1.35,36.99,-1.5,378.6,911.72,4.43,16.57,51,0.51,3,19.9,2.07,55.0,17.35,142,2.62,83.17
1993,USA,14.67,1.53,32.29,1.91,431.74,793.24,3.74,16.86,6,2.15,9,41.45,1.25,66.86,54.8,129,2.46,32.97
2002,Canada,15.37,1.91,40.33,8.56,431.63,579.34,0.83,15.05,39,1.69,12,26.15,1.9,39.67,34.95,42,2.02,59.26
2019,Australia,13.63,1.49,40.76,11.35,450.76,1110.46,3.77,16.1,44,3.28,12,59.75,2.37,56.61,29.0,63,2.15,13.89
2000,France,13.84,1.23,33.9,7.61,409.28,1251.36,3.6,16.37,58,4.63,0,10.4,1.29,44.51,27.85,156,2.67,46.88
1995,USA,14.23,1.75,40.97,11.17,426.29,1386.66,4.16,13.14,49,1.24,1,23.39,3.48,42.48,53.85,137,1.57,99.88
2024,China,14.01,1.8,32.22,5.34,439.69,666.82,3.07,17.75,23,4.28,6,46.31,2.02,37.29,25.19,123,2.08,15.88
1997,India,14.01,1.81,35.8,11.97,396.15,1409.66,3.77,16.75,10,4.6,0,15.8,2.9,48.63,52.25,158,2.48,94.76
2003,USA,13.24,0.9,37.86,13.22,392.35,983.02,4.17,16.9,40,4.51,11,37.98,2.57,66.2,22.01,81,1.67,82.43
2005,Brazil,14.85,0.56,38.92,-1.93,396.93,1007.97,3.31,15.73,54,4.76,0,36.17,3.0,35.54,34.23,187,0.43,97.22
2004,Australia,14.7,0.88,38.11,5.89,406.27,1268.08,4.31,17.38,0,4.21,1,61.15,0.69,87.58,12.91,80,2.92,17.96
2024,China,13.48,1.38,33.34,5.35,393.24,837.71,3.58,15.25,53,2.97,3,47.52,0.86,28.72,50.38,121,2.19,21.35
2020,Brazil,15.37,1.16,40.47,3.3,398.0,350.86,3.69,15.49,31,2.05,6,48.38,1.76,53.61,45.48,141,1.57,1.69
2008,France,15.51,1.02,34.38,6.97,437.02,1211.46,-0.01,17.44,39,2.46,3,67.11,3.0,25.95,34.16,187,2.66,72.47
1994,Brazil,14.05,1.32,32.15,5.16,412.59,1104.57,2.13,17.04,52,4.36,4,68.94,0.77,21.59,6.42,45,2.1,64.41
2024,Germany,15.2,0.51,32.23,2.06,422.67,891.92,2.13,14.58,43,1.51,3,49.2,3.4,84.59,31.47,161,1.68,17.81
1980,Germany,14.16,1.16,44.7,4.89,401.23,1186.76,3.76,18.87,1,0.8,3,41.32,0.53,76.73,17.39,64,2.38,79.11
2004,Pakistan,14.61,1.55,31.29,9.82,399.59,1248.08,5.03,15.36,14,0.7,8,46.48,0.7,68.59,27.74,80,2.23,29.92
1986,Canada,14.0,1.32,41.46,5.73,422.14,546.4,3.36,16.3,20,4.13,14,32.95,0.67,80.56,52.1,42,1.89,13.5
1988,Canada,15.83,1.38,29.32,7.51,418.15,1006.75,4.52,19.12,23,3.81,5,69.25,2.09,76.2,47.33,147,1.82,42.26
2003,China,14.32,1.74,37.44,3.89,434.45,316.73,4.28,13.41,49,2.49,11,52.3,3.22,65.31,18.31,96,1.69,9.1
1980,France,14.58,1.07,36.49,6.81,447.54,962.89,3.67,13.94,16,1.37,2,27.46,0.97,79.31,59.17,122,2.57,26.32
2023,UK,14.09,0.84,43.11,0.16,397.71,888.18,4.19,17.16,46,3.39,5,13.47,1.98,47.36,54.68,113,1.58,37.13
1987,Germany,15.62,1.58,31.73,3.0,436.53,1147.57,3.8,12.78,51,0.19,12,12.68,0.7,58.69,34.08,172,1.8,85.19
2003,China,15.63,1.57,30.35,4.59,388.0,678.08,3.33,13.43,51,2.84,6,22.29,2.25,74.34,34.16,125,2.25,79.25
1990,UK,15.48,1.32,34.42,-0.11,466.84,873.55,3.97,18.26,8,1.99,6,23.97,0.52,25.94,54.57,136,2.93,44.28
1996,Canada,15.07,1.04,43.32,1.68,395.34,35.18,5.24,15.89,34,4.89,7,34.9,1.77,80.11,39.99,54,2.27,72.46
1987,Pakistan,14.13,1.1,30.58,6.25,432.27,1167.25,4.07,19.79,19,2.54,12,22.89,2.33,30.98,34.52,127,2.49,56.86
2014,Brazil,15.0,0.59,22.06,5.52,387.82,973.48,3.76,14.95,18,2.76,3,47.85,2.07,80.52,46.2,133,2.25,34.08
2014,Germany,14.5,1.55,35.3,8.23,411.2,1026.17,2.45,16.02,17,3.56,0,22.68,0.58,41.79,17.93,165,2.65,72.59
2012,China,15.29,1.53,39.75,2.6,453.64,551.97,5.2,17.31,19,2.42,5,21.27,0.65,42.87,53.31,139,3.17,68.35
1984,USA,15.17,0.58,29.93,5.23,394.56,1119.42,1.81,17.21,29,1.12,7,38.27,2.38,25.18,34.23,78,1.98,61.91
2021,UK,14.11,1.45,39.24,2.31,470.1,1495.82,1.45,16.12,39,2.69,4,63.32,2.85,82.01,38.19,118,2.21,61.8
2018,Brazil,15.07,1.26,29.82,7.82,414.87,944.53,3.95,15.53,0,4.72,12,38.1,3.19,32.22,9.95,78,2.29,68.3
2020,Germany,14.91,0.69,34.27,9.76,439.39,1195.03,2.44,16.85,23,2.05,2,34.83,2.87,64.1,22.02,91,2.46,38.45
2007,Canada,12.84,0.62,38.76,6.93,425.07,738.81,4.81,18.57,23,3.4,3,44.69,3.41,65.08,28.47,170,2.27,86.91
1986,France,14.98,1.25,29.06,9.24,426.43,976.94,1.48,17.64,46,4.89,7,25.43,1.49,39.68,27.77,196,1.93,16.23
1988,UK,14.24,0.94,35.91,5.13,379.35,540.6,4.65,15.55,18,4.15,5,31.21,1.23,89.0,47.81,165,2.2,88.39
1987,Canada,13.97,1.83,41.07,8.22,403.18,1236.44,4.49,15.01,29,3.3,12,22.83,0.2,24.49,20.53,198,3.42,34.23
1991,Germany,13.99,1.48,37.37,5.3,444.9,1047.95,3.64,15.46,25,3.68,14,44.31,1.63,62.55,15.02,105,2.36,12.5
2013,UK,14.42,1.29,31.4,0.9,406.39,634.21,0.98,14.59,41,4.68,12,51.84,2.31,53.57,37.04,84,1.24,60.0
2012,Brazil,14.79,1.31,42.59,5.99,418.47,759.44,1.43,16.72,43,4.8,4,50.42,2.87,37.18,38.83,61,2.0,37.6
2002,Germany,13.68,1.63,38.29,1.02,376.31,1018.33,3.79,17.72,59,4.84,12,25.29,1.01,31.45,11.69,122,2.21,81.55
2003,Australia,14.61,1.44,25.7,14.36,401.56,1277.16,3.22,16.39,37,3.13,8,56.78,1.85,71.6,5.14,177,2.13,43.08
2016,China,14.85,1.3,39.32,3.66,443.08,1443.86,4.37,19.08,28,1.92,9,25.36,2.35,84.14,55.47,188,2.17,66.86
2014,Brazil,15.62,0.71,32.14,7.58,382.93,959.76,3.42,19.16,12,0.67,2,19.02,1.98,27.53,9.38,56,2.34,30.83
2023,UK,13.85,2.32,35.98,4.95,432.93,590.61,3.31,16.96,3,1.93,6,30.99,1.03,33.58,54.38,106,2.45,20.95
2019,France,14.29,0.66,40.04,0.07,419.44,1071.54,0.59,17.55,44,4.71,8,45.86,2.81,89.04,26.96,46,2.33,38.8
2001,Canada,14.66,0.97,32.25,-2.59,409.1,1535.46,4.49,15.15,16,4.45,10,18.52,0.69,21.05,40.92,140,2.68,60.68
2006,USA,15.19,0.44,26.77,8.0,408.0,513.18,2.72,15.96,32,2.62,12,48.89,3.18,55.58,15.21,75,1.45,65.69
2014,Canada,14.32,1.32,42.53,11.2,402.72,713.62,3.02,18.41,4,2.69,10,61.78,3.34,56.13,50.32,106,2.07,57.82
1980,UK,15.22,1.16,40.82,2.06,404.95,1183.29,2.22,15.63,27,1.54,11,27.59,1.34,38.42,14.91,116,2.42,98.81
2014,Canada,13.34,1.41,34.56,-1.63,438.24,1046.08,1.65,18.73,23,2.27,3,37.01,1.38,66.41,26.26,197,2.33,69.11
2016,China,13.75,0.4,39.27,3.7,404.2,836.49,5.27,18.17,16,3.57,9,23.7,2.63,86.15,18.09,126,1.87,93.15
1993,Germany,14.71,1.55,33.15,1.25,460.19,1066.03,4.45,17.63,49,2.01,9,31.68,1.65,51.51,51.06,196,1.93,11.79
1982,USA,13.65,0.78,35.48,2.4,422.49,1293.26,4.47,14.74,38,0.94,2,11.32,0.2,72.46,52.21,111,1.78,6.14
1980,India,13.8,1.04,34.28,7.44,400.59,970.5,3.24,16.03,47,2.7,0,67.23,3.23,65.22,25.46,98,2.69,31.1
1984,UK,14.18,1.47,33.36,4.8,439.33,944.2,1.41,17.47,39,1.13,8,34.95,1.56,53.11,21.91,59,1.27,13.66
2005,Pakistan,14.96,1.2,36.8,1.68,430.6,1176.71,6.02,15.02,43,4.87,12,57.33,0.79,23.49,47.55,196,1.56,52.59
1993,India,13.36,1.23,28.96,7.35,373.65,918.85,4.01,16.21,45,1.95,0,18.56,1.99,71.92,53.32,168,2.41,51.9
2018,Canada,14.6,1.42,33.74,7.67,389.14,1342.76,3.66,17.63,50,4.55,1,58.74,0.84,45.43,39.32,148,2.47,57.5
2006,UK,15.12,1.27,36.57,3.65,412.11,1608.02,3.07,15.65,10,1.13,8,61.61,0.8,35.71,56.01,53,1.41,74.52
1988,Australia,14.38,0.96,44.19,5.55,375.41,732.12,1.05,15.23,11,0.95,4,52.93,1.96,86.38,26.07,63,2.51,97.13
1994,Pakistan,14.28,1.03,29.16,7.08,467.26,624.99,4.87,13.8,12,3.08,3,64.19,1.43,74.15,13.35,149,2.29,87.83
1994,USA,14.74,1.18,37.6,6.7,435.56,1111.52,2.23,15.92,7,3.9,8,20.03,2.05,87.36,14.88,173,2.46,11.84
2005,France,14.38,0.74,38.15,5.16,414.67,614.35,4.16,17.66,0,2.83,8,38.59,3.49,37.94,41.84,77,2.24,33.85
2021,Australia,15.33,1.5,25.62,10.73,406.43,609.23,4.43,15.19,8,1.15,1,47.21,3.02,78.51,27.41,168,2.41,25.58
1992,India,13.83,1.22,37.05,7.33,400.01,385.24,3.9,16.53,27,0.19,2,45.77,0.13,62.54,13.6,80,2.43,17.68
2011,Germany,14.47,1.13,39.4,3.2,365.9,885.32,4.06,16.16,1,3.09,11,61.66,0.27,88.71,21.07,70,2.44,54.47
2018,China,14.62,1.58,37.94,3.22,371.68,990.1,5.12,15.5,13,0.66,2,22.94,2.17,86.24,34.18,75,2.32,55.33
2011,France,14.27,1.05,34.58,2.77,462.53,844.79,2.55,17.76,12,1.72,4,20.54,2.23,88.11,11.68,144,2.16,22.72
1983,Australia,12.78,1.03,36.67,7.53,454.34,1417.1,3.7,18.96,47,3.38,12,25.2,3.09,86.62,5.19,148,2.16,71.19
2009,Germany,14.4,0.91,35.85,2.51,400.61,1394.77,3.23,18.01,1,0.49,2,63.49,2.24,20.54,55.45,70,2.32,73.29
2016,Germany,15.04,1.24,26.55,3.3,437.7,1578.65,1.29,15.46,3,0.64,9,66.46,0.87,71.88,21.77,196,2.61,2.1
2002,UK,14.97,1.22,35.97,9.23,427.66,1013.96,3.84,19.49,11,0.31,5,44.18,1.69,39.04,17.18,152,3.18,39.58
2018,Australia,14.71,0.83,33.16,5.77,430.61,1355.15,5.0,18.0,47,4.98,1,40.08,2.85,69.35,43.42,170,2.46,89.01
2024,USA,13.84,1.03,31.48,9.79,379.37,1092.66,5.15,15.81,9,1.94,5,46.32,3.24,88.64,51.94,100,2.39,52.03
1994,Canada,14.74,0.84,47.42,8.19,369.8,1062.51,5.73,15.34,2,4.53,5,46.98,0.91,22.76,39.78,45,2.81,34.76
2022,Pakistan,14.16,0.82,41.26,0.29,444.56,859.78,1.37,18.18,3,1.47,1,20.22,1.93,59.69,19.0,59,2.4,25.37
2008,Pakistan,14.71,0.41,29.25,4.59,365.52,321.06,5.45,16.76,5,3.77,5,51.18,0.64,71.45,52.39,150,1.67,24.34
2015,India,14.57,1.01,36.73,8.96,411.3,1191.19,3.72,15.22,22,1.1,5,37.14,1.79,37.74,33.07,100,1.83,9.98
1992,India,13.91,0.42,42.29,0.11,405.81,1346.24,5.42,16.28,4,2.49,5,41.04,0.41,35.76,25.97,180,3.11,81.72
2011,Pakistan,13.96,0.91,27.52,6.68,403.5,542.31,3.03,15.89,49,4.12,11,11.82,3.3,24.22,38.26,62,1.84,8.67
1986,USA,14.71,0.85,35.38,4.84,422.86,997.09,2.86,15.26,2,4.08,12,55.87,2.27,26.57,43.53,118,2.49,29.23
2001,China,14.37,1.52,35.62,-2.02,398.06,1297.49,2.04,18.02,9,3.97,13,60.13,3.0,65.97,37.66,70,1.71,4.57
2007,Brazil,14.0,0.69,28.63,5.48,424.89,892.15,4.43,17.67,42,4.12,4,47.17,3.49,55.36,55.61,43,2.84,78.14
1981,Canada,13.95,0.8,36.9,1.65,418.53,1357.93,4.12,17.76,18,1.06,6,54.92,0.72,22.11,39.54,157,1.97,3.93
2021,China,14.32,0.95,40.58,0.33,467.47,957.92,2.16,17.74,13,2.41,12,41.36,2.46,87.88,53.32,105,2.24,30.83
2024,UK,15.44,0.87,42.54,5.04,380.36,842.45,0.9,15.13,20,2.42,14,47.1,3.12,65.92,37.28,183,2.09,57.33
1985,Brazil,14.18,1.65,33.75,-2.72,415.73,1375.09,4.0,15.59,59,4.45,11,33.67,2.06,56.08,23.13,154,2.45,40.96
2007,Brazil,14.49,0.64,47.51,2.3,425.78,719.87,4.14,18.69,42,1.48,4,57.51,2.27,39.09,34.28,70,2.29,28.23
2007,Australia,14.56,0.95,24.71,15.2,408.59,782.53,2.32,16.66,27,4.66,10,38.1,1.49,66.07,9.75,162,2.65,27.52
2023,USA,13.82,1.23,36.78,7.6,381.57,731.34,2.07,14.29,20,2.25,0,50.81,2.39,45.49,17.66,82,2.53,79.78
2023,USA,13.44,1.45,27.94,1.47,446.43,657.22,4.29,16.83,35,3.35,11,47.29,1.44,69.17,47.14,43,2.34,97.4
1999,Brazil,13.88,0.95,35.45,10.62,423.42,1045.91,5.73,17.48,23,1.34,8,52.14,1.72,67.78,41.38,87,2.53,34.8
2009,Australia,14.65,0.33,32.39,1.03,383.33,846.12,2.91,17.29,53,2.05,2,57.11,0.45,26.49,14.16,195,2.55,3.91
1990,Canada,14.55,1.04,37.53,2.79,425.97,1146.58,2.44,15.09,37,3.55,1,40.76,0.13,83.65,29.09,183,2.0,3.66
2007,Brazil,14.92,1.64,34.37,0.4,457.54,479.61,3.86,19.33,16,2.56,9,58.78,0.29,54.09,12.81,128,1.96,75.92
2004,France,14.56,1.21,30.87,6.02,414.09,663.24,4.26,14.25,21,4.65,5,39.84,0.75,47.51,52.07,165,2.98,55.24
2018,India,14.43,1.19,31.2,10.47,414.94,1015.47,3.06,16.67,18,3.69,7,67.4,1.65,86.88,11.0,116,2.55,78.36
2012,India,14.14,0.67,44.66,1.0,454.2,1440.9,5.93,19.1,44,2.82,1,55.16,0.17,50.67,40.98,197,2.4,69.75
1980,China,15.03,0.63,37.22,-3.24,390.74,1113.55,4.58,17.39,53,4.43,3,20.27,0.63,70.49,38.39,104,1.8,90.75
2006,UK,13.95,1.11,26.49,9.36,458.19,823.18,3.04,17.75,9,3.33,1,59.78,2.76,65.86,31.0,108,1.31,88.58
1992,India,13.83,0.53,37.75,11.22,439.32,553.14,1.59,14.92,10,3.24,11,43.1,2.69,31.56,20.3,53,2.05,78.83
2020,Germany,14.84,1.41,34.03,-2.98,391.89,805.65,5.08,17.02,37,1.23,11,69.07,2.79,89.38,27.22,114,1.97,47.52
1982,China,13.7,0.76,35.02,6.84,398.29,987.25,4.93,16.45,1,1.97,8,53.13,3.23,52.45,49.35,68,2.04,30.81
2018,India,15.95,1.09,39.1,5.91,401.88,292.69,3.14,14.8,32,3.42,9,15.06,0.5,47.63,46.89,118,2.63,50.7
1985,UK,14.55,0.35,40.92,1.85,369.16,635.99,3.92,17.8,42,4.46,12,33.7,0.65,84.37,45.63,192,2.96,50.21
1987,USA,14.71,0.94,30.71,-0.58,421.51,778.73,3.32,15.27,30,1.58,14,41.04,1.23,57.05,46.24,133,2.75,61.03
2006,USA,14.01,0.63,34.85,8.97,393.03,922.78,4.12,15.45,47,1.08,1,60.34,3.21,69.36,12.91,105,1.9,18.61
1988,Canada,14.31,0.17,32.27,5.72,422.41,983.7,2.27,17.15,34,2.97,9,53.76,2.74,79.24,10.45,154,2.47,65.56
2016,Brazil,14.24,1.32,37.98,6.02,382.73,816.74,2.1,16.29,36,0.34,1,32.16,1.2,36.48,52.38,79,1.96,45.66
2012,France,14.17,1.76,33.84,2.51,438.08,1151.76,4.47,16.75,46,3.57,13,49.21,0.4,31.86,51.04,182,1.28,62.02
2021,USA,14.88,1.55,35.15,1.79,433.44,1037.41,4.63,16.19,46,3.52,12,44.61,2.2,24.8,42.47,71,2.16,23.96
